id|firstName|lastName|gender|birthday|creationDate|locationIP|browserUsed
5|Hao|Wang|male|1986-12-04|2010-04-10T10:52:28Z|1.2.0.21|Chrome
1|David|Dube|female|1985-09-11|2013-01-14T00:38:52Z|41.76.224.19|Chrome
2|Serghei|Barbu|female|1987-10-04|2011-08-10T00:54:22Z|212.0.192.12|Opera
10|Fernanda|Costa|male|1984-03-09|2010-11-06T07:20:22Z|192.147.210.15|Firefox
6|Gordon|Murray|male|1981-02-03|2010-05-08T05:50:43Z|41.160.0.3|Chrome
3|Peter|Redl|female|1986-06-28|2012-09-30T08:29:04Z|31.41.184.6|Firefox
4|Jun|Chen|female|1986-11-06|2011-07-08T09:09:42Z|14.1.0.7|Firefox
7|Brian|Adams|female|1982-02-22|2011-10-19T07:05:21Z|163.60.0.1|Chrome
8|Kunal|Sharma|male|1982-08-23|2011-09-23T04:02:16Z|49.238.32.2|Firefox
14|Wei|Wang|female|1989-07-14|2012-01-24T02:55:35Z|27.131.220.3|Internet Explorer
12|A.|Nair|female|1984-06-15|2012-01-17T07:15:51Z|59.176.0.3|Firefox
16|A.|Nair|female|1984-06-15|2012-01-17T07:15:51Z|59.176.0.3|Firefox
